Configurations,,,,,,,MI-FGSM Patch,,PGD Patch,,Transfer: MI-FGSM Patch,,Transfer: PGD Patch,
epsilon,alpha,num_iter,patch_size,shared_patch,targeted,target_class,Top 1,Top 5,Top 1,Top 5,Top 1,Top 5,Top 1,Top 5
0.3,0.03,10,32,TRUE,TRUE,1,74.80%,93.20%,,,,,,
0.3,0.03,10,32,FALSE,TRUE,1,75.80%,93.40%,,,,,,
0.3,0.03,10,32,TRUE,TRUE,401,75.20%,94.80%,,,,,,
0.3,0.03,10,32,FALSE,TRUE,401,74.60%,94.00%,,,,,,
0.3,0.03,10,32,TRUE,TRUE,999,75.40%,94.60%,,,,,,
0.3,0.03,10,32,FALSE,TRUE,999,74.60%,92.60%,,,,,,
,,,,,,,,,,,,,,
0.3,0.03,10,32,TRUE,FALSE,None,61.20%,87.80%,48.20%,82.00%,,,,
0.3,0.03,20,32,TRUE,FALSE,None,56.40%,86.20%,37.80%,78.20%,,,,
0.3,0.03,30,32,TRUE,FALSE,None,57.40%,87.00%,33.60%,76.40%,,,,
0.3,0.03,40,32,TRUE,FALSE,None,54.40%,85.40%,32.80%,71.80%,,,,
0.3,0.03,50,32,TRUE,FALSE,None,54.60%,86.00%,27.80%,74.00%,,,,
0.3,0.03,100,32,TRUE,FALSE,None,46.60%,81.60%,24.40%,67.80%,,,,
,,,,,,,,,,,,,,
0.3,0.03,10,32,FALSE,FALSE,None,61.00%,89.40%,50.60%,84.80%,73.00%,92.20%,71.80%,92.60%
0.3,0.03,20,32,FALSE,FALSE,None,56.20%,86.60%,38.80%,77.60%,,,,
0.3,0.03,30,32,FALSE,FALSE,None,57.20%,86.40%,31.60%,73.20%,72.00%,92.60%,69.80%,92.00%
0.3,0.03,40,32,FALSE,FALSE,None,57.60%,84.80%,29.00%,72.40%,,,,
0.3,0.03,50,32,FALSE,FALSE,None,55.40%,85.60%,26.00%,69.40%,74.60%,92.00%,70.40%,91.20%
0.3,0.03,100,32,FALSE,FALSE,None,46.20%,82.20%,24.60%,66.60%,72.20%,91.20%,71.40%,91.80%
,,,,,,,,,,,,,,
0.3,0.05,10,32,FALSE,FALSE,None,56.80%,88.20%,45.80%,81.20%,73.00%,92.60%,71.80%,91.80%
0.3,0.05,20,32,FALSE,FALSE,None,55.80%,86.60%,35.20%,74.80%,,,,
0.3,0.05,30,32,FALSE,FALSE,None,51.00%,84.20%,31.00%,71.00%,73.40%,92.40%,69.20%,92.60%
0.3,0.05,40,32,FALSE,FALSE,None,49.60%,84.80%,26.80%,68.80%,,,,
0.3,0.05,50,32,FALSE,FALSE,None,50.60%,82.20%,28.60%,70.40%,71.80%,92.00%,70.80%,92.60%
0.3,0.05,100,32,FALSE,FALSE,None,44.40%,79.60%,22.60%,66.00%,71.00%,92.20%,71.00%,92.20%
,,,,,,,,,,,,,,
0.3,0.1,10,32,FALSE,FALSE,None,56.20%,85.20%,40.20%,77.00%,72.20%,92.60%,72.00%,91.80%
0.3,0.1,20,32,FALSE,FALSE,None,48.00%,83.60%,28.60%,73.80%,,,,
0.3,0.1,30,32,FALSE,FALSE,None,45.80%,80.00%,29.40%,69.40%,71.40%,92.60%,71.40%,92.60%
0.3,0.1,40,32,FALSE,FALSE,None,45.60%,80.40%,26.60%,69.60%,,,,
0.3,0.1,50,32,FALSE,FALSE,None,42.80%,78.00%,24.60%,66.20%,71.40%,91.20%,70.60%,92.20%
0.3,0.1,100,32,FALSE,FALSE,None,37.00%,75.20%,21.00%,62.40%,71.60%,91.40%,71.40%,92.20%
,,,,,,,,,,,,,,
0.3,0.2,100,32,FALSE,FALSE,None,31.40%,72.20%,19.60%,63.60%,70.40%,92.80%,68.60%,92.00%
,,,,,,,,,,,,,,
0.3,0.3,100,32,FALSE,FALSE,None,33.00%,72.60%,22.20%,64.60%,71.00%,91.60%,72.40%,91.40%
,,,,,,,,,,,,,,
0.3,0.4,100,32,FALSE,FALSE,None,29.40%,71.60%,22.60%,66.40%,71.40%,92.60%,71.20%,91.40%
,,,,,,,,,,,,,,
0.3,0.5,100,32,FALSE,FALSE,None,30.60%,73.20%,22.40%,65.00%,70.20%,91.40%,70.80%,91.60%
,,,,,,,,,,,,,,
0.3,1,100,32,FALSE,FALSE,None,28.80%,68.20%,26.20%,66.00%,71.20%,91.80%,70.60%,91.60%